metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1773576397,1.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_duration,1773576397,533.975264,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_blocked,1773576397,0.465518,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_connecting,1773576397,0.395617,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_tls_handshaking,1773576397,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_sending,1773576397,0.214354,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_waiting,1773576397,387.438717,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_receiving,1773576397,146.322193,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
http_req_failed,1773576397,0.000000,,,,true,,POST,Auth_Login,HTTP/1.1,warmup,,200,,,Auth_Login,,
vus,1773576397,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576397,2.000000,,,,,,,,,,,,,,,,
vus,1773576398,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576398,2.000000,,,,,,,,,,,,,,,,
http_reqs,1773576399,1.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_duration,1773576399,371.614520,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_blocked,1773576399,0.005270,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_connecting,1773576399,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_tls_handshaking,1773576399,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_sending,1773576399,0.068760,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_waiting,1773576399,225.447892,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_receiving,1773576399,146.097868,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
http_req_failed,1773576399,0.000000,,,,true,,POST,PGR_Create,HTTP/1.1,warmup,,200,,,PGR_Create,,
vus,1773576399,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576399,2.000000,,,,,,,,,,,,,,,,
vus,1773576400,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576400,2.000000,,,,,,,,,,,,,,,,
vus,1773576401,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576401,2.000000,,,,,,,,,,,,,,,,
http_reqs,1773576402,1.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_duration,1773576402,342.519956,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_blocked,1773576402,0.009619,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_connecting,1773576402,0.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_tls_handshaking,1773576402,0.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_sending,1773576402,0.150814,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_waiting,1773576402,196.244202,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_receiving,1773576402,146.124940,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
http_req_failed,1773576402,0.000000,,,,true,,POST,PGR_Assign,HTTP/1.1,warmup,,200,,,PGR_Assign,,
vus,1773576402,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576402,2.000000,,,,,,,,,,,,,,,,
vus,1773576403,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576403,2.000000,,,,,,,,,,,,,,,,
vus,1773576404,1.000000,,,,,,,,,,,,,,,,
vus_max,1773576404,2.000000,,,,,,,,,,,,,,,,
http_reqs,1773576405,1.000000,,,,true,,POST,PGR_Resolve,HTTP/1.1,warmup,,200,,,PGR_Resolve,,
